	doc	test_sec	test_name	test_num	with	when	then
10	36523-1-f00_s07_01	7.1.2.3	Correct selection of RACH parameters / Preamble selected by MAC itself / Contention based random access procedure	2	UE in E-UTRA RRC_IDLE state and has transmitted Msg3	SS does not respond before contention resolution timer expiry	UE transmits a random access preamble using a preamble in the same group of random access preambles as used for the first transmission of Msg3
11	36523-1-f00_s07_01	7.1.2.3	Correct selection of RACH parameters / Preamble selected by MAC itself / Contention based random access procedure	3	UE in E-UTRA RRC_IDLE state and has transmitted Msg3	SS does not respond before contention resolution timer expiry after more than preambleTransMax transmissions from UE	UE transmits a random access preamble using a preamble in the same group of random access preambles as used for the first transmission of Msg3
12	36523-1-f00_s07_01	7.1.2.3	Correct selection of RACH parameters / Preamble selected by MAC itself / Contention based random access procedure	4	UE in E-UTRA RRC_IDLE state	UE has data available for transmission and the MAC PDU Size carrying this data is greater than messageSizeGroupA	UE transmits a random access preamble using a preamble in group B of random access preambles indicated in SIB2
13	36523-1-f00_s07_01	7.1.2.3a	Correct selection of RACH parameters/ Preamble selected by MAC itself/ Contention based random access procedure/ Enhanced coverage	1	UE in E-UTRA RRC_IDLE state	UE in enhanced coverage receives a Paging message and preambles contained in Random Access Preamble groups in preambleMappingInfoList for each CE level is indicated in SIB2	UE in enhanced coverage transmits correct preamble calculated based on firstPreamble and lastPreamble indicated in SIB2
14	36523-1-f00_s07_01	7.1.2.3a	Correct selection of RACH parameters/ Preamble selected by MAC itself/ Contention based random access procedure/ Enhanced coverage	2	UE in enhanced coverage transmits a preamble with the number of repetitions required for preamble transmission corresponding to the selected preamble group using the selected PRACH corresponding to the selected CE level, corresponding RA-RNTI, prach-ConfigIndex and preambleInitialReceivedTargetPower indicated in SIB2	SS sends numRepetitionPerPreambleAttempt in SIB2	UE in enhanced coverage transmits a preamble with the number of repetitions required for preamble transmission corresponding to the selected preamble group using the selected PRACH corresponding to the selected CE level, corresponding RA-RNTI, prach-ConfigIndex and preambleInitialReceivedTargetPower indicated in SIB2
15	36523-1-f00_s07_01	7.1.2.3a	Correct selection of RACH parameters/ Preamble selected by MAC itself/ Contention based random access procedure/ Enhanced coverage	3	UE in E-UTRA RRC_IDLE state and has transmitted Msg3	SS does not respond before contention resolution timer expiry	UE in enhanced coverage transmits a random access preamble using a preamble contained in Random Access Preamble groups in preambleMappingInfoList as used for the first transmission of Msg3
16	36523-1-f00_s07_01	7.1.2.3a	Correct selection of RACH parameters/ Preamble selected by MAC itself/ Contention based random access procedure/ Enhanced coverage	4	UE in E-UTRA RRC_IDLE state and has transmitted Msg3	SS does not respond before contention resolution timer expiry after more than maxNumPreambleAttemptCE transmissions from UE	UE in enhanced coverage transmits a random access preamble using a preamble calculated based on firstPreamble and lastPreamble corresponding to the next enhanced coverage level indicated in SIB2
17	36523-1-f00_s07_01	7.1.2.3b	Correct selection of RACH parameters / Preamble selected by MAC itself / Contention based random access procedure for high speed scenario	1	UE in E-UTRA RRC_IDLE state and camp on a cell identified in the high speed train area	SS sends a Paging message to the UE and MAC PDU Size carrying CCCH PDU is less than messageSizeGroupA	UE transmits a random access preamble using a preamble in  group A of random access preambles indicated in SIB2
18	36523-1-f00_s07_01	7.1.2.3b	Correct selection of RACH parameters / Preamble selected by MAC itself / Contention based random access procedure for high speed scenario	2	UE in E-UTRA RRC_IDLE state and has transmitted Msg3 to a cell identified in the high speed train area	SS does not respond before contention resolution timer expiry	UE transmits a random access preamble using a preamble in the same group of random access preambles as used for the first transmission of Msg3
19	36523-1-f00_s07_01	7.1.2.3b	Correct selection of RACH parameters / Preamble selected by MAC itself / Contention based random access procedure for high speed scenario	3	UE in E-UTRA RRC_IDLE state and has transmitted Msg3 to a cell identified in the high speed train area	SS does not respond before contention resolution timer expiry after more than preambleTransMax transmissions from UE	UE transmits a random access preamble using a preamble in the same group of random access preambles as used for the first transmission of Msg3
20	36523-1-f00_s07_01	7.1.2.3b	Correct selection of RACH parameters / Preamble selected by MAC itself / Contention based random access procedure for high speed scenario	4	UE in E-UTRA RRC_IDLE state and camp on a cell identified in the high speed train area	UE has data available for transmission and the MAC PDU Size carrying this data is greater than messageSizeGroupA	UE transmits a random access preamble using a preamble in group B of random access preambles indicated in SIB2
21	36523-1-f00_s07_01	7.1.2.4	Random access procedure / Successful	1	The SS pages the UE with a matching identity	The SS pages the UE with a matching identity	UE transmits a random access preamble in the next available Random Access occasion
22	36523-1-f00_s07_01	7.1.2.4	Random access procedure / Successful	2	SS does not answer with a matching Random Access Response within ra-ResponseWindowSize	SS does not answer with a matching Random Access Response within ra-ResponseWindowSize	UE retransmits a PRACH preamble
23	36523-1-f00_s07_01	7.1.2.4	Random access procedure / Successful	3	SS transmits Random Access Response and UE send msg3	SS ignores the RRCConnectionRequest and does not send any Response	UE select available PRACH resource to retransmits a PRACH preamble according to the timing requirement
24	36523-1-f00_s07_01	7.1.2.5	Random access procedure / MAC PDU containing multiple RARs	1	UE in E-UTRA RRC_IDLE state and transmitted PRACH preamble	UE receives during TTI window [RA_WINDOW_BEGINRA_WINDOW_END] MAC PDU containing multiple RARs but none of the subheaders contains a RAPID corresponding to the UE	UE transmits a random access preamble in the next available Random Access occasion
25	36523-1-f00_s07_01	7.1.2.5	Random access procedure / MAC PDU containing multiple RARs	2	UE in E-UTRA RRC_IDLE state and transmitted PRACH preamble	UE receives during TTI window [RA_WINDOW_BEGINRA_WINDOW_END] MAC PDU containing multiple RARs and one of the subheaders contains a RAPID corresponding to the UE	UE transmits MAC PDU containing RRCConnectionRequest
26	36523-1-f00_s07_01	7.1.2.6	Maintenance of uplink time alignment	1	UE in E-UTRA RRC_IDLE state and having initiated a random access procedure	The SS transmits a Timing Advance Command in a Random Access Response message	the UE applies the received Timing Advance value in the next transmitted MAC PDU
27	36523-1-f00_s07_01	7.1.2.6	Maintenance of uplink time alignment	2	UE in E-UTRA RRC_CONNECTED state	Timing Advanced Command MAC control element is received and UE has pending data during the period the timeAlignmentTimer is running	UE does not send any Random Access Preamble, but Scheduling Requests to request transmission of data while timeAlignmentTimer is running
28	36523-1-f00_s07_01	7.1.2.6	Maintenance of uplink time alignment	3	UE in E-UTRA RRC_CONNECTED state	timeAlignmentTimer has expired or is not running and UL transmission is required	UE triggers a RA Procedure
29	36523-1-f00_s07_01	7.1.2.7	MAC contention resolution / Temporary C-RNTI	1	UE in E-UTRA RRC_IDLE state and after transmitting an RRCConnectionRequest message	SS does not send any MAC PDU including 'UE Contention Resolution Identity' MAC control element before contention resolution timer expires	UE re-transmits RRCConnectionRequest
30	36523-1-f00_s07_01	7.1.2.7	MAC contention resolution / Temporary C-RNTI	2	UE in E-UTRA RRC_IDLE state and after transmitting an RRCConnectionRequest message	SS transmits a valid MAC PDU containing RRCConnectionSetup, but not including 'UE Contention Resolution Identity' MAC control element	UE re-transmits RRCConnectionRequest
31	36523-1-f00_s07_01	7.1.2.7	MAC contention resolution / Temporary C-RNTI	3	SS transmits a valid MAC PDU containing RRCConnectionSetup, including 'UE Contention Resolution Identity' MAC control element but with un-matched 'Contention Resolution Identity'	SS transmits a valid MAC PDU containing RRCConnectionSetup, including 'UE Contention Resolution Identity' MAC control element but with un-matched 'Contention Resolution Identity'	UE re-transmits RRCConnectionRequest
32	36523-1-f00_s07_01	7.1.2.7	MAC contention resolution / Temporary C-RNTI	4	UE in E-UTRA RRC_IDLE state and after transmitting an RRCConnectionRequest message	SS transmits a valid MAC PDU containing a RRCConnectionSetup, including 'UE Contention Resolution Identity' MAC control element and matching 'Contention Resolution Identity'	UE transmits an RRCConnectionSetupComplete message
33	36523-1-f00_s07_01	7.1.2.8	MAC contention resolution / C-RNTI	1	UE in E-UTRA RRC_CONNECTED state and after transmitting a RRCConnectionReconfigurationComplete message for a handover without dedicated preamble	The SS does not schedule any PDCCH transmission addressed to UE C-RNTI before Contention resolution timer expiry	The UE retransmits the RRCConnectionReconfigrationComplete message
34	36523-1-f00_s07_01	7.1.2.8	MAC contention resolution / C-RNTI	2	UE in E-UTRA RRC_CONNECTED state and after transmitting a RRCConnectionReconfigurationComplete message for a handover without dedicated preamble	UE receive PDCCH transmission addressed to its C-RNTI before Contention resolution timer expiry	The UE does not retransmit the RRCConnectionReconfigrationComplete message
35	36523-1-f00_s07_01	7.1.2.9	MAC back off indicator	1	UE in E-UTRA RRC_IDLE state and having initiated a random access procedure	SS sends a Random Access Response including a Backoff Indicator and the Random Access Preamble identifier is different from the value received from the UE	UE triggers RA preamble after a random time between 0 and the indicated Backoff parameter
36	36523-1-f00_s07_01	7.1.2.9	MAC back off indicator	2	SS sends a Random Access Response containing Backoff Indicator and a Random Access Preamble identifier with the same value as received from the UE	SS sends a Random Access Response containing Backoff Indicator and a Random Access Preamble identifier with the same value as received from the UE	UE stores Backoff Indicator and sends a RRC connection request in the first scheduled UL transmission
37	36523-1-f00_s07_01	7.1.2.9	MAC back off indicator	3	UE in E-UTRA RRC_IDLE state and having initiated a random access procedure	UE receives a Contention Resolution failure	UE triggers RA preamble after random time between 0 and the UE stored Backoff parameter
38	36523-1-f00_s07_01	7.1.2.10.1	CA / Random access procedure / SCell / Intra-band Contiguous CA	1	UE in E-UTRA RRC_CONNECTED state having activated SCell with uplink configured	PDCCH order is sent on the scheduling cell of the activated SCell providing Random Access Preamble	UE sends the Random Access Preamble given in the PDCCH Order on the activated SCell
39	36523-1-f00_s07_01	7.1.2.10.1	CA / Random access procedure / SCell / Intra-band Contiguous CA	2	UE sends the SR/ack/nack on PUCCH and data on the PUSCH of PCell in parallel with the Preamble transmission on the activated SCell	UE has data to send on the PCell	UE sends the SR/ack/nack on PUCCH and data on the PUSCH of PCell in parallel with the Preamble transmission on the activated SCell
40	36523-1-f00_s07_01	7.1.2.10.1	CA / Random access procedure / SCell / Intra-band Contiguous CA	3	UE in E-UTRA RRC_CONNECTED state and transmitted PRACH Preamble, after reception of PDCCH order	UE does not receive a matching Random Access response in ra-ResponseWindowSize (hence considers RACH attempt as failed) and PREAMBLE_TRANSMISSION_COUNTER is less than PREAMBLE_TRANS_MAX	UE retransmits the Preamble given in the PDCCH Order on the activated SCell
41	36523-1-f00_s07_01	7.1.2.10.1	CA / Random access procedure / SCell / Intra-band Contiguous CA	4	UE in E-UTRA RRC_CONNECTED state	UE has sent the Preamble on the activated SCell	UE receives the Random Access Response on the PCell
42	36523-1-f00_s07_01	7.1.2.10.1	CA / Random access procedure / SCell / Intra-band Contiguous CA	5	UE in E-UTRA RRC_CONNECTED state and completed the Random Access procedure on SCell	UE has data to send and receives the UL Grant scheduled for the SCell	UE transmits the data on the SCell
43	36523-1-f00_s07_01	7.1.2.11.1	CA / Maintenance of uplink time alignment / Multiple TA / Intra-band Contiguous CA	1	UE in E-UTRA RRC_CONNECTED state and having initiated a random access procedure on SCell	The SS transmits a Timing Advance Command in a Random Access Response message	UE applies the received Timing Advance value in the next transmitted MAC PDU on the SCell and starts the timeAlignmentTimerSTAG for this sTAG to which the SCell belongs
44	36523-1-f00_s07_01	7.1.2.11.1	CA / Maintenance of uplink time alignment / Multiple TA / Intra-band Contiguous CA	2	Timing Advance Command MAC control element with the TAG Id associated with the SCell is received and UE has pending data during the period the timeAlignmentTimer for the PCell and timeAlignmentTimerSTAG are running	Timing Advance Command MAC control element with the TAG Id associated with the SCell is received and UE has pending data during the period the timeAlignmentTimer for the PCell and timeAlignmentTimerSTAG are running	UE applies the received Timing Advance value for the next transmission of data and restarts the timeAlignmentTimerSTAG for this sTAG to which the SCell belongs
45	36523-1-f00_s07_01	7.1.2.11.1	CA / Maintenance of uplink time alignment / Multiple TA / Intra-band Contiguous CA	3	timeAlignmentTimer associated with the pTAG is running and timeAlignmentTimerSTAG associated with the sTAG has expired or is not running	timeAlignmentTimer associated with the pTAG is running and timeAlignmentTimerSTAG associated with the sTAG has expired or is not running	UE releases the SRS
46	36523-1-f00_s07_01	7.1.2.11.1	CA / Maintenance of uplink time alignment / Multiple TA / Intra-band Contiguous CA	4	timeAlignmentTimer associated with the pTAG expires and timeAlignmentTimerSTAG for the sTAG had not yet expired and UL transmission is required	timeAlignmentTimer associated with the pTAG expires and timeAlignmentTimerSTAG for the sTAG had not yet expired and UL transmission is required	UE considers all timeAlignmentTimers, including the one for sTAG, as expired, triggers a RA Procedure on the PCell and releases SRS
47	36523-1-f00_s07_01	7.1.2.11.4	FDD-TDD CA / Maintenance of uplink time alignment / Multiple TA	1	UE supporting of FDD-TDD CA in E-UTRA RRC_CONNECTED state with two different frame structure type SCells in one sTAG	The SS transmits a Timing Advance Command in a Random Access Response message	UE applies the received Timing Advance value in the next transmitted MAC PDU on the SCell by using NTAoffset = 624
48	36523-1-f00_s07_01	7.1.2.11.4	FDD-TDD CA / Maintenance of uplink time alignment / Multiple TA	2	The SS transmits Timing Advance Command MAC control element with the TAG Id associated with the sTAG which includes two different frame structure type SCells	The SS transmits Timing Advance Command MAC control element with the TAG Id associated with the sTAG which includes two different frame structure type SCells	UE applies the received Timing Advance value in the next transmitted MAC PDU on the SCell by using NTAoffset = 624
49	36523-1-f00_s07_01	7.1.3.1	Correct handling of DL assignment / Dynamic case	1	UE in E-UTRA RRC_CONNECTED state	UE receives downlink assignment on the PDCCH for the UEs C-RNTI and receives data in the associated subframe and UE performs HARQ operation	UE sends a HARQ feedback on the HARQ process
50	36523-1-f00_s07_01	7.1.3.1	Correct handling of DL assignment / Dynamic case	2	UE receives downlink assignment on the PDCCH with a C-RNTI unknown by the UE and data is available in the associated subframe	UE receives downlink assignment on the PDCCH with a C-RNTI unknown by the UE and data is available in the associated subframe	UE does not send any HARQ feedback on the HARQ process
51	36523-1-f00_s07_01	7.1.3.2	Correct handling of DL assignment / Semi-persistent case	1	UE receives a DL assignment addressed to its stored SPS-CRNTI in SF-Num y and with NDI set as 0	UE receives a DL assignment addressed to its stored SPS-CRNTI in SF-Num y and with NDI set as 0	UE starts receiving DL MAC PDU in SF-Nums y+n*[semiPersistSchedIntervalDL] where n is positive integer starting at zero
52	36523-1-f00_s07_01	7.1.3.2	Correct handling of DL assignment / Semi-persistent case	2	UE receives a DL assignment addressed to its SPS-CRNTI in SF-Num p and with NDI set as 0, where p!= y+n*[semiPersistSchedIntervalDL]	UE receives a DL assignment addressed to its SPS-CRNTI in SF-Num p and with NDI set as 0, where p!= y+n*[semiPersistSchedIntervalDL]	UE starts receiving DL MAC PDU in SF-Nums p+n*[semiPersistSchedIntervalDL] and stops receiving DL MAC PDU at SF-Nums y+n*[semiPersistSchedIntervalDL]where n is positive integer starting at zero
53	36523-1-f00_s07_01	7.1.3.2	Correct handling of DL assignment / Semi-persistent case	3	UE receives a DL assignment [for retransmission] addressed to its SPS-CRNTI in SF-Num z and with NDI set as 1, where z!= p+n*[semiPersistSchedIntervalDL]	UE receives a DL assignment [for retransmission] addressed to its SPS-CRNTI in SF-Num z and with NDI set as 1, where z!= p+n*[semiPersistSchedIntervalDL]	UE receives MAC PDU in SF-Num z as per the new grant for SPS-CRNTI
54	36523-1-f00_s07_01	7.1.3.2	Correct handling of DL assignment / Semi-persistent case	4	UE in E-UTRA RRC_Connected state with DRB established and stored DL SPS assignment to receive MAC PDU at SF-Num y+n*[semiPersistSchedIntervalDL]	UE receives a DL assignment addressed to its CRNTI in SF-Num p, such that p!= y+n*[semiPersistSchedIntervalDL]	UE receives MAC PDU in SF-Num p as per assignment addressed to its C-RNTI
55	36523-1-f00_s07_01	7.1.3.2	Correct handling of DL assignment / Semi-persistent case	5	UE receives a RRCConnectionReconfiguration including sps-Configuration with sps-ConfigurationDL set as disable and hence resulting in DL SPS grant deactivation	UE receives a RRCConnectionReconfiguration including sps-Configuration with sps-ConfigurationDL set as disable and hence resulting in DL SPS grant deactivation	UE deletes the stored sps-Configuration DL parameters and stops receiving DL MAC PDUs as per stored SPS assignment in SF-Num z+n*[semiPersistSchedIntervalDL]
56	36523-1-f00_s07_01	7.1.3.2	Correct handling of DL assignment / Semi-persistent case	6	UE receives a PDCCH [for DL SPS explicit release according to Table 9.2-1A in TS 36.213] addressed to its SPS C-RNTI in SF-Num p and with NDI set as 0, where p!= z+n*[semiPersistSchedIntervalDL]	UE receives a PDCCH [for DL SPS explicit release according to Table 9.2-1A in TS 36.213] addressed to its SPS C-RNTI in SF-Num p and with NDI set as 0, where p!= z+n*[semiPersistSchedIntervalDL]	UE sends an ACK to SS and releases the configured SPS assignment and stops receiving MAC PDU in SF-Num z+n*[semiPersistSchedIntervalDL] as per assignment addressed to its SPS C-RNTI
57	36523-1-f00_s07_01	7.1.3.3	MAC PDU header handling	1	UE receives a MAC PDU containing an AMD PDU that is larger than 128 bytes with padding at the end	UE receives a MAC PDU containing an AMD PDU that is larger than 128 bytes with padding at the end	UE successfully decodes the MAC PDU and forward to higher layer
58	36523-1-f00_s07_01	7.1.3.3	MAC PDU header handling	2	UE receives a MAC PDU containing an AMD PDU that is smaller than 128 bytes with padding at the end	UE receives a MAC PDU containing an AMD PDU that is smaller than 128 bytes with padding at the end	UE successfully decodes the MAC PDU and forward to higher layer
59	36523-1-f00_s07_01	7.1.3.3	MAC PDU header handling	3	UE receives a MAC PDU containing an single AMD PDU with no padding	UE receives a MAC PDU containing an single AMD PDU with no padding	UE successfully decodes the MAC PDU and forward to higher layer
60	36523-1-f00_s07_01	7.1.3.3	MAC PDU header handling	4	UE in E-UTRA RRC_CONNECTED state	UE receives a MAC PDU containing multiple MAC SDUs each containing an AMD PDU and no padding	UE successfully decodes the MAC PDU and forwards the AMD PDUs to higher layer
61	36523-1-f00_s07_01	7.1.3.3a	MAC PDU header handling / UE  with limited TB size	1	UE receives a MAC PDU containing an AMD PDU that is smaller than 128 bytes with padding at the end	UE receives a MAC PDU containing an AMD PDU that is smaller than 128 bytes with padding at the end	UE successfully decodes the MAC PDU and forward to higher layer
62	36523-1-f00_s07_01	7.1.3.3a	MAC PDU header handling / UE  with limited TB size	2	UE receives a MAC PDU containing an single AMD PDU with no padding	UE receives a MAC PDU containing an single AMD PDU with no padding	UE successfully decodes the MAC PDU and forward to higher layer
63	36523-1-f00_s07_01	7.1.3.3a	MAC PDU header handling / UE  with limited TB size	3	UE in E-UTRA RRC_CONNECTED state	UE receives a MAC PDU containing multiple MAC SDUs each containing an AMD PDU and no padding	UE successfully decodes the MAC PDU and forwards the AMD PDUs to higher layer
64	36523-1-f00_s07_01	7.1.3.4	Correct HARQ process handling / DCCH and DTCH	1	UE in E-UTRA RRC_CONNECTED state with DRB established	the UE receives a MAC PDU for DRB and decode fails	the UE transmits a NACK for the corresponding HARQ process
65	36523-1-f00_s07_01	7.1.3.4	Correct HARQ process handling / DCCH and DTCH	2	UE in E-UTRA RRC_CONNECTED state with DRB established	the UE receives a MAC PDU retransmission for DRB, and results in successful decode	the UE transmits an ACK for the corresponding HARQ process and delivers data to upper layers
66	36523-1-f00_s07_01	7.1.3.4a	Correct HARQ process handling / DCCH and DTCH/ Enhanced Coverage / CE Mode A	1	UE in E-UTRA RRC_CONNECTED state with DRB established	the SS transmits a MAC PDU, causing CRC fail on UE side, for DRB in repetitions as per DL_REPETITION_NUMBER	the UE transmits a NACK for the entire bundle as feedback of the corresponding HARQ process
67	36523-1-f00_s07_01	7.1.3.4a	Correct HARQ process handling / DCCH and DTCH/ Enhanced Coverage / CE Mode A	2	UE in E-UTRA RRC_CONNECTED state with DRB established	the SS retransmits a MAC PDU, causing CRC pass on UE side, for DRB in repetitions as per DL_REPETITION_NUMBER	the UE transmits an ACK for the entire bundle as feedback of the corresponding HARQ process and delivers data to upper layers
68	36523-1-f00_s07_01	7.1.3.5	Correct HARQ process handling / CCCH	1	UE in E-UTRA RRC_ IDLE state with RRC connection establishment procedure initiated	UE receives a MAC PDU  addressed to RA-RNTI	UE does not transmit ACK/NACK for the corresponding HARQ process
69	36523-1-f00_s07_01	7.1.3.5	Correct HARQ process handling / CCCH	2	UE receives a MAC PDU  addressed to T-CRNTI without UE Contention Resolution Identity matching the one included in the RRCConnectionRequest message	UE receives a MAC PDU  addressed to T-CRNTI without UE Contention Resolution Identity matching the one included in the RRCConnectionRequest message	UE does not transmit an ACK/NACK for the corresponding HARQ process
70	36523-1-f00_s07_01	7.1.3.5	Correct HARQ process handling / CCCH	3	UE in E-UTRA RRC_ IDLE state with RRC connection establishment procedure initiated	UE receives a MAC PDU  addressed to T-CRNTI and cannot decode properly	UE does not transmits a NACK for the corresponding HARQ
71	36523-1-f00_s07_01	7.1.3.5	Correct HARQ process handling / CCCH	4	UE receives a MAC PDU  addressed to T-CRNTI with UE Contention Resolution Identity matching the one included in the RRCConnectionRequest message	UE receives a MAC PDU  addressed to T-CRNTI with UE Contention Resolution Identity matching the one included in the RRCConnectionRequest message	UE transmits an ACK for the corresponding HARQ process and delivers data to upper layers
72	36523-1-f00_s07_01	7.1.3.5a	Correct HARQ process handling / CCCH/ Enhanced Coverage / CE Mode A	1	UE in E-UTRA RRC_ IDLE state with RRC connection establishment procedure initiated	SS transmits a MAC PDU  addressed to RA-RNTI in repetitions as per DL_REPETITION_NUMBER	UE does not transmit ACK/NACK for the entire bundle as feedback of the corresponding HARQ process
73	36523-1-f00_s07_01	7.1.3.5a	Correct HARQ process handling / CCCH/ Enhanced Coverage / CE Mode A	2	SS transmits a MAC PDU  addressed to T-CRNTI in repetitions as per DL_REPETITION_NUMBER without UE Contention Resolution Identity matching the one included in the RRCConnectionRequest message	SS transmits a MAC PDU  addressed to T-CRNTI in repetitions as per DL_REPETITION_NUMBER without UE Contention Resolution Identity matching the one included in the RRCConnectionRequest message	UE does not transmit an ACK/NACK for the entire bundle as feedback of the corresponding HARQ process
74	36523-1-f00_s07_01	7.1.3.5a	Correct HARQ process handling / CCCH/ Enhanced Coverage / CE Mode A	3	UE in E-UTRA RRC_ IDLE state with RRC connection establishment procedure initiated	SS transmits a MAC PDU  addressed to T-CRNTI in repetitions as per DL_REPETITION_NUMBER and cannot decode properly	UE does not transmits a NACK for the entire bundle as feedback of the corresponding HARQ
75	36523-1-f00_s07_01	7.1.3.5a	Correct HARQ process handling / CCCH/ Enhanced Coverage / CE Mode A	4	SS transmits a MAC PDU  addressed to T-CRNTI in repetitions as per DL_REPETITION_NUMBER with UE Contention Resolution Identity matching the one included in the RRCConnectionRequest message	SS transmits a MAC PDU  addressed to T-CRNTI in repetitions as per DL_REPETITION_NUMBER with UE Contention Resolution Identity matching the one included in the RRCConnectionRequest message	UE transmits an ACK for the corresponding HARQ process and delivers data to upper layers
76	36523-1-f00_s07_01	7.1.3.6	Correct HARQ process handling / BCCH	1	UE in E-UTRA RRC_CONNECTED state	UE receives a MAC PDU addressed to SI-RNTI	UE does not send any ACK/NACK for the corresponding dedicated HARQ process
77	36523-1-f00_s07_01	7.1.3.7	MAC padding	1	UE is receiving RLC PDUs in MAC PDUs with padding greater than 2 bytes	UE is receiving RLC PDUs in MAC PDUs with padding greater than 2 bytes	UE acknowledges reception of the RLC PDUs
78	36523-1-f00_s07_01	7.1.3.7	MAC padding	2	UE is receiving RLC PDUs in MAC PDUs with padding equal to or less than 2 bytes	UE is receiving RLC PDUs in MAC PDUs with padding equal to or less than 2 bytes	UE acknowledges reception of the RLC PDUs
79	36523-1-f00_s07_01	7.1.3.7	MAC padding	3	SS is transmitting a MAC control Timing Advance PDU with padding equal to or less than 2 bytes and no Data MAC PDU sub-headers followed by transmitting a RLC PDU	SS is transmitting a MAC control Timing Advance PDU with padding equal to or less than 2 bytes and no Data MAC PDU sub-headers followed by transmitting a RLC PDU	UE acknowledges reception of the RLC PDU using the new Timing Advance
80	36523-1-f00_s07_01	7.1.3.9	MAC reset / DL	1	UE  in E-UTRA RRC_CONNECTED state	UE MAC is reset, due to handover to a new cell	UE flushes DL HARQ buffer
81	36523-1-f00_s07_01	7.1.3.9	MAC reset / DL	2	UE  in E-UTRA RRC_CONNECTED state	UE MAC is reset, due to handover to a new cell	UE considers the next transmission for each DL HARQ process as very first
82	36523-1-f00_s07_01	7.1.3.11.1	CA / Correct HARQ process handling / DCCH and DTCH / Pcell and Scell / Intra-band Contiguous CA	1	the UE transmits a NACK for the corresponding HARQ process within HARQ entity	the UE receives a MAC PDU for DRB and decode fails	the UE transmits a NACK for the corresponding HARQ process within HARQ entity
